"행정구역(시군구)별(1)","행정구역(시군구)별(2)",성별(1),2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"전라남도","고흥군",계,-185,4,-143,-114,-200,-144,289,193,63,296
"전라남도","보성군",계,-525,-339,-485,-933,-441,-313,-226,-127,-88,380
"전라남도","화순군",계,-249,-318,-411,-893,174,690,158,-270,-28,3
"전라남도","장흥군",계,-2492,-198,-494,-457,-484,-734,-294,-148,-135,203
"전라남도","강진군",계,-829,-621,-500,-587,-365,-305,-50,-53,-93,5
"전라남도","해남군",계,-997,-1278,-1303,-1086,-991,-675,-382,-442,-634,-79
"전라남도","영암군",계,-1107,-1278,-689,74,-598,-187,151,390,-463,-889
"전라남도","무안군",계,-123,1004,-616,-586,5337,5493,-53,48,2714,3122
"전라남도","함평군",계,-227,213,-584,-249,-453,-193,39,181,-105,-102
"전라남도","영광군",계,-433,-603,-431,-200,-667,-658,650,-23,702,1750
"전라남도","장성군",계,-191,183,-138,174,-1017,-494,403,-199,-120,1295
"전라남도","완도군",계,-183,-231,-330,-485,-372,-682,-334,-378,-465,-381
"전라남도","진도군",계,-122,-39,-223,-242,782,-699,-128,-139,-103,-186
"전라남도","신안군",계,-335,-247,-439,-600,-902,-46,238,749,672,4305
"경상북도","포항시",계,-4186,-3680,-3972,-2744,-3527,2588,-5371,-2128,185,-1444
"경상북도","경주시",계,25,-961,-121,-537,-862,210,-344,-674,-1274,860
"경상북도","김천시",계,2145,866,-1473,513,-199,462,38,-1006,-1244,-768
"경상북도","안동시",계,-354,-2218,-3460,-1552,-329,-698,-900,-444,1434,679
"경상북도","구미시",계,-2874,-229,-2040,-3114,-4424,-4055,-4337,-2506,-736,-953
"경상북도","영주시",계,-152,-352,-1091,-1065,-1267,-181,-44,404,-473,-746
"경상북도","영천시",계,292,636,1527,1245,155,844,129,-46,-1196,-1991
"경상북도","상주시",계,91,-88,119,1098,-2604,-403,510,10,-885,-794
"경상북도","문경시",계,-749,-992,-889,882,-302,337,305,-858,-746,-1084
"경상북도","경산시",계,-18,792,1239,1938,841,5148,326,-759,862,-1855
"경상북도","군위군",계,290,289,21,172,-297,87,771,0,0,0
"경상북도","의성군",계,118,135,173,267,-185,-62,561,774,-508,199
"경상북도","청송군",계,111,-48,-57,-29,-48,-139,145,28,6,44
"경상북도","영양군",계,-27,-78,37,-154,-94,-46,-26,-113,-55,901
"경상북도","영덕군",계,218,-159,-16,-399,-638,-407,22,-95,-304,56
"경상북도","청도군",계,223,211,181,308,-110,276,423,271,-123,140
"경상북도","고령군",계,-201,-294,-541,-384,-692,-316,155,108,283,-62
"경상북도","성주군",계,401,198,-155,-338,-256,-39,210,27,-122,-218
"경상북도","칠곡군",계,-275,-2640,-2229,-1742,-1997,-281,-623,-1464,-2590,-1902
"경상북도","예천군",계,1838,3512,4360,2066,872,628,606,145,-252,-171
"경상북도","봉화군",계,-34,-28,-91,-375,-285,-220,-116,-88,-280,-73
"경상북도","울진군",계,97,-478,-640,-440,-217,-304,-314,81,-88,284
"경상북도","울릉군",계,-130,25,-107,-187,-513,-92,208,128,103,-316
"경상남도","창원시",계,0,0,0,0,0,0,0,0,0,0
"경상남도","창원시",계,-9943,-9171,-5078,-9819,-7858,-3070,-8774,-10176,-6803,-6616
"경상남도","울산시",계,0,0,0,0,0,0,0,0,0,0
"경상남도","마산시",계,0,0,0,0,0,0,0,0,0,0
"경상남도","진주시",계,1657,-258,-723,1463,1177,20,-2235,-1873,-1356,-2058
"경상남도","진해시",계,0,0,0,0,0,0,0,0,0,0
"경상남도","통영시",계,-1178,-2230,-1761,-1902,-2531,-2069,-1642,-1381,-1304,-1037
"경상남도","사천시",계,-581,-389,17,-1504,-366,-296,329,498,225,186
